Symbol,BuyPrice,SellPrice
ETHBTC,0.05328000,0.05329000
LTCBTC,0.00174600,0.00174700
BNBBTC,0.00599000,0.00599100
NEOBTC,0.00028610,0.00028630
QTUMETH,0.00141200,0.00141600
EOSETH,0.00035280,0.00035310
SNTETH,0.00001890,0.00001896
BNTETH,0.00032870,0.00033110
BCCBTC,0.00000000,0.00000000
GASBTC,0.00017310,0.00017320
BNBETH,0.11240000,0.11250000
BTCUSDT,41784.31000000,41784.32000000
ETHUSDT,2226.71000000,2226.72000000
HSRBTC,0.00000000,0.00000000
OAXETH,0.00000000,0.00000000
DNTETH,0.00000000,0.00000000
MCOETH,0.00000000,0.00000000
ICNETH,0.00000000,0.00000000
MCOBTC,0.00000000,0.00000000
WTCBTC,0.00000000,0.00000000
WTCETH,0.00000000,0.00000000
LRCBTC,0.00000608,0.00000609
LRCETH,0.00011418,0.00011425
QTUMBTC,0.00007530,0.00007540
YOYOBTC,0.00000000,0.00000000
OMGBTC,0.00000000,0.00000000
OMGETH,0.00000000,0.00000000
ZRXBTC,0.00000901,0.00000903
ZRXETH,0.00000000,0.00000000
STRATBTC,0.00000000,0.00000000
STRATETH,0.00000000,0.00000000
SNGLSBTC,0.00000000,0.00000000
SNGLSETH,0.00000000,0.00000000
BQXBTC,0.00000000,0.00000000
BQXETH,0.00000000,0.00000000
KNCBTC,0.00001697,0.00001699
KNCETH,0.00000000,0.00000000
FUNBTC,0.00000000,0.00000000
FUNETH,0.00000221,0.00000223
SNMBTC,0.00000000,0.00000000
SNMETH,0.00000000,0.00000000
NEOETH,0.00536500,0.00536900
IOTABTC,0.00000640,0.00000641
IOTAETH,0.00012030,0.00012050
LINKBTC,0.00035750,0.00035760
LINKETH,0.00670900,0.00671200
XVGBTC,0.00000000,0.00000000
XVGETH,0.00000165,0.00000167
SALTBTC,0.00000000,0.00000000
SALTETH,0.00000000,0.00000000
MDABTC,0.00000000,0.00000000
MDAETH,0.00000000,0.00000000
MTLBTC,0.00003785,0.00003793
MTLETH,0.00000000,0.00000000
SUBBTC,0.00000000,0.00000000
SUBETH,0.00000000,0.00000000
EOSBTC,0.00001879,0.00001881
SNTBTC,0.00000100,0.00000101
ETCETH,0.00915000,0.00917000
ETCBTC,0.00048700,0.00048900
MTHBTC,0.00000000,0.00000000
MTHETH,0.00000000,0.00000000
ENGBTC,0.00000000,0.00000000
ENGETH,0.00000000,0.00000000
DNTBTC,0.00000000,0.00000000
ZECBTC,0.00074300,0.00074500
ZECETH,0.01392000,0.01399000
BNTBTC,0.00001753,0.00001755
ASTBTC,0.00000285,0.00000286
ASTETH,0.00000000,0.00000000
DASHBTC,0.00078300,0.00078400
DASHETH,0.01468000,0.01470000
OAXBTC,0.00000425,0.00000426
ICNBTC,0.00000000,0.00000000
BTGBTC,0.00000000,0.00000000
BTGETH,0.00000000,0.00000000
EVXBTC,0.00000000,0.00000000
EVXETH,0.00000000,0.00000000
REQBTC,0.00000212,0.00000214
REQETH,0.00000000,0.00000000
VIBBTC,0.00000167,0.00000168
VIBETH,0.00000000,0.00000000
HSRETH,0.00000000,0.00000000
TRXBTC,0.00000250,0.00000251
TRXETH,0.00004709,0.00004710
POWRBTC,0.00000914,0.00000917
POWRETH,0.00017160,0.00017200
ARKBTC,0.00000000,0.00000000
ARKETH,0.00000000,0.00000000
YOYOETH,0.00000000,0.00000000
XRPBTC,0.00001492,0.00001493
XRPETH,0.00028000,0.00028010
MODBTC,0.00000000,0.00000000
MODETH,0.00000000,0.00000000
ENJBTC,0.00000782,0.00000784
ENJETH,0.00014670,0.00014700
STORJBTC,0.00001622,0.00001624
STORJETH,0.00000000,0.00000000
BNBUSDT,250.20000000,250.30000000
VENBNB,0.00000000,0.00000000
YOYOBNB,0.00000000,0.00000000
POWRBNB,0.00000000,0.00000000
VENBTC,0.00000000,0.00000000
VENETH,0.00000000,0.00000000
KMDBTC,0.00000663,0.00000668
KMDETH,0.00000000,0.00000000
NULSBNB,0.00000000,0.00000000
RCNBTC,0.00000000,0.00000000
RCNETH,0.00000000,0.00000000
RCNBNB,0.00000000,0.00000000
NULSBTC,0.00000557,0.00000559
NULSETH,0.00000000,0.00000000
RDNBTC,0.00000000,0.00000000
RDNETH,0.00000000,0.00000000
RDNBNB,0.00000000,0.00000000
XMRBTC,0.00410800,0.00411000
XMRETH,0.07705000,0.07717000
DLTBNB,0.00000000,0.00000000
WTCBNB,0.00000000,0.00000000
DLTBTC,0.00000000,0.00000000
DLTETH,0.00000000,0.00000000
AMBBTC,0.00000020,0.00000021
AMBETH,0.00000000,0.00000000
AMBBNB,0.00000000,0.00000000
BCCETH,0.00000000,0.00000000
BCCUSDT,0.00000000,0.00000000
BCCBNB,0.00000000,0.00000000
BATBTC,0.00000562,0.00000563
BATETH,0.00000000,0.00000000
BATBNB,0.00000000,0.00000000
BCPTBTC,0.00000000,0.00000000
BCPTETH,0.00000000,0.00000000
